Title,Release Year,Director,DP,Editor,Production Designer,Writer,Producer,Actors,Studio,Country of Origin,Title in Original Language,TMDb ID,IMDb ID,Your Rating
Apollo 13,1995,Ron Howard,Dean Cundey,Daniel P. Hanley|Mike Hill,Michael Corenblith,William Broyles Jr.|Al Reinert,Brian Grazer,Tom Hanks|Bill Paxton|Kevin Bacon|Gary Sinise|Ed Harris|Kathleen Quinlan|David Andrews|Xander Berkeley|Christian Clemenson|Brett Cullen,Imagine Entertainment|Universal Pictures,United States of America,Apollo 13,568,tt0112384,8.0
Are We There Yet?,2005,Brian Levant,Thomas E. Ackerman,Lawrence Jordan,Stephen J. Lineweaver,Claudia Grazioso|J. David Stem|David N. Weiss|Steven Gary Banks,Matt Alvarez|Ice Cube|Dan Kolsrud,Ice Cube|Nia Long|Aleisha Allen|Philip Bolden|Jay Mohr|M.C. Gainey|Henry Simmons|Ray Galletti|Viv Leacock|Sean Millington,Revolution Studios|Cube Vision,United States of America,Are We There Yet?,11637,tt0368578,4.0
Argo,2012,Ben Affleck,Rodrigo Prieto,William Goldenberg,Sharon Seymour,Chris Terrio,Grant Heslov|George Clooney|Ben Affleck,Ben Affleck|Bryan Cranston|Alan Arkin|John Goodman|Victor Garber|Tate Donovan|Clea DuVall|Scoot McNairy|Rory Cochrane|Christopher Denham,GK Films|Warner Bros. Pictures|Smokehouse Pictures,United States of America,Argo,68734,tt1024648,8.0
Arrival,2016,Denis Villeneuve,Bradford Young,Joe Walker,Patrice Vermette,Eric Heisserer,Dan Levine|Shawn Levy|David Linde|Karen Lunder|Aaron Ryder|Dan Cohen,Amy Adams|Jeremy Renner|Forest Whitaker|Michael Stuhlbarg|Mark O'Brien|Tzi Ma|Abigail Pniowsky|Julia Scarlett Dan|Jadyn Malone|Frank Schorpion,FilmNation Entertainment|Lava Bear Films|21 Laps Entertainment,United States of America,Arrival,329865,tt2543164,10.0
Asteroid City,2023,Wes Anderson,Robert D. Yeoman|Tristan Oliver,Barney Pilling,Adam Stockhausen,Wes Anderson|Roman Coppola,Jeremy Dawson|Steven M. Rales|Wes Anderson,Jason Schwartzman|Scarlett Johansson|Tom Hanks|Jeffrey Wright|Tilda Swinton|Bryan Cranston|Edward Norton|Adrien Brody|Liev Schreiber|Hope Davis,Indian Paintbrush|American Empirical Pictures|Studio Babelsberg,United States of America|Germany,Asteroid City,747188,tt14230388,8.0
Atlantis: The Lost Empire,2001,Gary Trousdale|Kirk Wise,,Ellen Keneshea,Matt Codd|Ricardo F. Delgado|Mike Mignola|Jim Martin,Tab Murphy|Kirk Wise|Gary Trousdale|Joss Whedon|Bryce Zabel|Jackie Zabel,Don Hahn,Michael J. Fox|Cree Summer|James Garner|Claudia Christian|Corey Burton|Phil Morris|Jacqueline Obradors|Don Novello|Jim Varney|Florence Stanley,Walt Disney Pictures|Walt Disney Feature Animation,United States of America,Atlantis: The Lost Empire,10865,tt0230011,9.0
Austin Powers: International Man of Mystery,1997,Jay Roach,Peter Deming,Dawn Hoggatt|Debra Neil-Fisher,Cynthia Kay Charette,Mike Myers,Demi Moore|Suzanne Todd|Jennifer Todd|Mike Myers,Mike Myers|Elizabeth Hurley|Michael York|Mimi Rogers|Robert Wagner|Seth Green|Fabiana Udenio|Mindy Sterling|Will Ferrell|Paul Dillon,New Line Cinema|Capella International|Moving Pictures|Eric's Boy|KC Medien|Team Todd,Germany|United States of America,Austin Powers: International Man of Mystery,816,tt0118655,6.0
Austin Powers: The Spy Who Shagged Me,1999,Jay Roach,Ueli Steiger,Debra Neil-Fisher|Jon Poll,Rusty Smith,Mike Myers|Michael McCullers,John S. Lyons|Eric McLeod|Demi Moore|Mike Myers|Jennifer Todd|Suzanne Todd,Mike Myers|Heather Graham|Verne Troyer|Michael York|Robert Wagner|Seth Green|Mindy Sterling|Will Ferrell|Elizabeth Hurley|Rob Lowe,New Line Cinema|Eric's Boy,United States of America,Austin Powers: The Spy Who Shagged Me,817,tt0145660,4.0
Avatar,2009,James Cameron,Mauro Fiore,John Refoua|Stephen E. Rivkin|James Cameron,Robert Stromberg|Rick Carter,James Cameron,James Cameron|Jon Landau,Sam Worthington|Zoe Saldaña|Sigourney Weaver|Stephen Lang|Michelle Rodriguez|Giovanni Ribisi|Joel David Moore|CCH Pounder|Wes Studi|Laz Alonso,Dune Entertainment|Lightstorm Entertainment|20th Century Fox|Ingenious Film Partners,United States of America|United Kingdom,Avatar,19995,tt0499549,6.0
Avatar: The Way of Water,2022,James Cameron,Russell Carpenter,James Cameron|David Brenner|John Refoua|Stephen E. Rivkin,Dylan Cole|Ben Procter,James Cameron|Rick Jaffa|Amanda Silver|Josh Friedman|Shane Salerno,James Cameron|Jon Landau,Sam Worthington|Zoe Saldaña|Sigourney Weaver|Stephen Lang|Kate Winslet|Cliff Curtis|Joel David Moore|CCH Pounder|Edie Falco|Jemaine Clement,20th Century Studios|Lightstorm Entertainment|TSG Entertainment,United States of America,Avatar: The Way of Water,76600,tt1630029,9.0
Avengers: Age of Ultron,2015,Joss Whedon,Ben Davis,Jeffrey Ford|Lisa Lassek,Charles Wood,Joss Whedon,Kevin Feige,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson|Jeremy Renner|James Spader|Samuel L. Jackson|Don Cheadle|Aaron Taylor-Johnson,Marvel Studios,United States of America,Avengers: Age of Ultron,99861,tt2395427,8.0
